,Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
23,1.33333333333333,1.16170986222707,0.236686005553183,0.28007843990459996,4.23989851899559,8.7901812567906
24,1.38888888888889,1.1583962935969199,0.23601090125330898,0.27927956648308194,4.2278049703528895,8.809746094786151
25,1.44444444444444,1.15537961911507,0.235396285972525,0.27855227173415503,4.2167949978255495,8.82755793275008
26,1.5,1.15100001534024,0.23450398837131198,0.277496386239385,4.20081073517746,8.85341713408358
27,1.55555555555556,1.1467164314053402,0.23363125378932398,0.276463650317367,4.185176916638,8.87870938998075
28,1.61111111111111,1.14275765739124,0.23282469576760698,0.275509223325002,4.17072855855377,8.902083818245881
29,1.6666666666666698,1.1390307981722498,0.232065387914173,0.27461070903177104,4.15712662110202,8.92408891456057
30,1.72222222222222,1.13549343538519,0.23134468793951898,0.27375788072843105,4.14421628976226,8.944975136511939
31,1.77777777777778,1.13144322860161,0.230519501465307,0.27278141006728,4.12943422902433,8.96888942603294
32,1.8333333333333302,1.12634275594024,0.229480334509851,0.27155172916999104,4.1108190074563,8.99900496986461
33,1.88888888888889,1.1217171050642,0.22853790743357996,0.270436523796403,4.09393674542476,9.026316946804029
34,1.94444444444444,1.117501689814,0.22767906149471104,0.269420222768742,4.07855172248797,9.05120670333532
35,2.0,1.11364373326587,0.226893043957403,0.26849010201626106,4.06447131843304,9.07398585876649
36,2.05555555555556,1.11009942482139,0.22617092887906,0.267635599173555,4.05153563749129,9.094913091083859
37,2.1111111111111103,1.10683196776526,0.22550521932103898,0.26684784286323,4.03961038249982,9.11420566507159
38,2.1666666666666696,1.1038101673194098,0.22488955967971,0.266119312287657,4.02858170171502,9.13204776909203
39,2.22222222222222,1.10100737215209,0.22431852003022001,0.26544358203576,4.0183523256329705,9.14859676490407
40,2.27777777777778,1.09721542407621,0.22354595101576197,0.26452937536865195,4.00451283304208,9.17098617586035
