,Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
62,3.5,1.26337118272322,0.223078627484188,0.3217480204098869,4.7242184366745,8.18992591642297
63,3.55555555555556,1.26215406295745,0.22286371565895102,0.321438051431179,4.71966716962352,8.19711235307069
64,3.61111111111111,1.26098500903572,0.22265729101678602,0.321140323581902,4.71529563878125,8.204014986798759
65,3.6666666666666696,1.25986120621878,0.22245885654765,0.320854120020649,4.71109331878253,8.210650437126331
66,3.72222222222222,1.25878005593925,0.222267953411849,0.32057877895939696,4.7070504926098,8.21703404719418
67,3.77777777777778,1.25773915537463,0.22208415733316803,0.32031368846129904,4.70315817520904,8.22318000437491
68,3.8333333333333304,1.25668839737338,0.22189862068650199,0.320046087528608,4.69922899715759,8.22938416440949
69,3.88888888888889,1.25526838897673,0.22164788398419802,0.31968444805413204,4.69391905346137,8.23776854914202
70,3.94444444444444,1.2539165120757,0.22140917753930497,0.31934015991246006,4.68886387896691,8.245750654090081
71,4.0,1.2526109785193502,0.22117865412871301,0.319007674224105,4.68398199961034,8.25345912654948
72,4.05555555555556,1.2513420642371103,0.22095459673343,0.31868451451937,4.67923705344671,8.26095138191921
73,4.11111111111111,1.25010484007352,0.22073613499227396,0.31836942546962604,4.67461060851599,8.268256524207361
74,4.16666666666667,1.24889645004588,0.22052276461267498,0.31806167972981897,4.67009198522827,8.275391416453509
75,4.2222222222222205,1.2477150133576,0.220314153494673,0.31776079830962395,4.66567415058012,8.28236716374837
76,4.2777777777777795,1.24655914794662,0.22011005760190197,0.317466429233513,4.661351936523361,8.289191926424099
77,4.33333333333333,1.2454277485961398,0.219910281781704,0.31717829103130396,4.65712121023808,8.2958722301906
78,4.38888888888889,1.24431987645197,0.21971466025675,0.316896144601082,4.6529784609966,8.30241361847606
79,4.44444444444444,1.24323470049875,0.21952304629124697,0.31661977830468296,4.6489205813209,8.30882099797871
80,4.5,1.2421714647525701,0.219335306398021,0.31634899961253005,4.64494474430379,8.31509883237628
81,4.55555555555556,1.2411294688900198,0.219151316918095,0.316083630170329,4.641048331173481,8.321251256701348
82,4.611111111111111,1.2401080562462,0.21897096190145898,0.315823502742489,4.637228886413809,8.32728214820637
83,4.66666666666667,1.23910660603241,0.218794131732905,0.315568459230151,4.6334840886630495,8.33319517231436
84,4.72222222222222,1.2381245280643898,0.21862072220118203,0.315318349328627,4.62981173100109,8.33899381374539
