,Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
122,6.83333333333333,0.9567379357185559,0.162437633045134,0.22741268626318697,3.43962678980544,10.0004300801553
123,6.888888888888889,0.955638475764995,0.16225096367014902,0.227151349138209,3.43567405440173,10.0069217989863
124,6.94444444444444,0.9545729124449609,0.162070049360071,0.22689806910410001,3.43184318284852,10.0132133764538
125,7.0,0.953535504101742,0.161893915280421,0.22665148139259,3.4281135329662598,10.0193387139481
126,7.05555555555556,0.9525258212681569,0.161722488515065,0.226411483921091,3.4244835607513497,10.0253003472417
127,7.111111111111111,0.951544685810799,0.16155590860280303,0.226178272043924,3.4209562209464197,10.031093423654902
128,7.16666666666667,0.95059290255492,0.16139431218910902,0.22595203706475303,3.4175344070276896,10.036713191128198
129,7.22222222222222,0.949670923422989,0.16123777600264003,0.22573288640369601,3.41421974372917,10.042156981302698
130,7.27777777777778,0.948778817023345,0.16108631169191,0.22552083636867498,3.41101247770886,10.0474243890833
131,7.33333333333333,0.9479163280600409,0.160939875912062,0.22531582627688798,3.4079116911367597,10.0525169218549
132,7.388888888888889,0.9470829530593861,0.16079838318193101,0.22511773645470398,3.40491557394397,10.0574375523585
133,7.44444444444444,0.9462780090410219,0.160661717543207,0.22492640456048899,3.40202167070621,10.062190313225301
134,7.5,0.945500689427579,0.16052974205293602,0.22474163887410997,3.3992270816481,10.0667799668602
135,7.55555555555556,0.9447501074409521,0.16040230615146,0.22456322861204397,3.39652861865969,10.0712117492102
136,7.611111111111111,0.9440253289425731,0.16027925123813097,0.22439095173338297,3.3939229233625494,10.0754911758605
137,7.66666666666667,0.9433253968888899,0.160160414823426,0.22422458075279703,3.3914065550311396,10.079623897637699
138,7.72222222222222,0.942649349311547,0.160045633581678,0.22406388701434898,3.38897605523449,10.0836155944469
139,7.77777777777778,0.9419962323671341,0.159934745566694,0.223908643793371,3.38662799475209,10.087471898219599
140,7.83333333333333,0.9413651096605881,0.15982759179470998,0.22375862851259398,3.38435900709304,10.0911983378644
141,7.888888888888889,0.9407550687641659,0.15972401735120098,0.22361362429168202,3.38216581193282,10.0948003007755
142,7.94444444444444,0.9401652256319499,0.159623872140388,0.223473420996544,3.38004523098416,10.0982830067679
143,8.0,0.939594727439519,0.15952701136736402,0.22333781591430998,3.37799419820605,10.1016514913106
144,8.055555555555559,0.9389347025116809,0.159414950495703,0.22318093069398398,3.37562130241194,10.1055485830046
145,8.11111111111111,0.936855319259703,0.159061907012179,0.22268666981705,3.3681455851096804,10.1178262211031
146,8.16666666666667,0.934842051295678,0.1587200887665,0.22220812427310002,3.36090756290362,10.129713484037499
147,8.22222222222222,0.932892100414207,0.15838902067155403,0.22174462894017602,3.35389717579518,10.1412268937035
148,8.27777777777778,0.931002796299216,0.158068249353638,0.22129554909509302,3.34710482356852,10.1523822168792
149,8.33333333333333,0.9291715930479442,0.15775734256228302,0.220860279587197,3.34052135329364,10.163194485749099
150,8.38888888888889,0.927396065064348,0.15745588847303502,0.22043824386225,3.3341380445625495,10.1736780221514
151,8.444444444444441,0.925673902544492,0.157163494920945,0.22002889288932398,3.3279465932585497,10.1838464642342
152,8.5,0.92400290672155,0.156879788593252,0.219631704030554,3.32193909446116,10.1937127945313
153,8.555555555555559,0.9223809849960749,0.15660441420259197,0.219246179883628,3.3161080249387505,10.2032893687153
154,8.61111111111111,0.920806146045214,0.15633703365661902,0.218871847119267,3.31044622556529,10.2125879444751
155,8.66666666666667,0.9192764949797609,0.156077325235764,0.21850825533006998,3.3049468839092704,10.2216197101108
156,8.72222222222222,0.9177902285990579,0.155824982787595,0.218154975902633,3.29960351717425,10.230395312551
157,8.77777777777778,0.915389157835408,0.15541732230183303,0.217584251222567,3.2909712815175096,10.2445723421376
158,8.83333333333333,0.9129449781234,0.15500234265868,0.21700327972215303,3.28218406225646,10.259003906844699
159,8.888888888888891,0.9108182695955249,0.15464126415792498,0.21649776982109603,3.2745382029741097,10.271560975206901
160,8.94444444444444,0.9088085741492379,0.154300052464264,0.21602007344997,3.26731302454403,10.2834271443483
161,9.0,0.9068562912957578,0.153968588440612,0.215556023816857,3.26029425362107,10.294954323053
