Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm),Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
NaN,NaN,NaN,NaN,NaN,12.5555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,12.6111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,12.6666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,12.7222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,12.7777777777778,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,12.8333333333333,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,12.8888888888889,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,12.9444444444444,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.0555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.1111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.1666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.2222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.2777777777778,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.3333333333333,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.3888888888889,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.4444444444444,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.5,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.5555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.6111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.6666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.7222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.7777777777778,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.8333333333333,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.8888888888889,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,13.9444444444444,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.0555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.1111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.1666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.2222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.2777777777778,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.3333333333333,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.3888888888889,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.4444444444444,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.5,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.5555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.6111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.6666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.7222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.7777777777778,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.8333333333333,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.8888888888889,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,14.9444444444444,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.0555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.1111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.1666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.2222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.2777777777778,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.3333333333333,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.3888888888889,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.4444444444444,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.5,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.5555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.6111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.6666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.7222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.7777777777778,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.8333333333333,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.8888888888889,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,15.9444444444444,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,16,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,16.0555555555556,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,16.1111111111111,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,16.1666666666667,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
NaN,NaN,NaN,NaN,NaN,16.2222222222222,0.845341079626564,0.14352436436758,0.200934110114613,3.03913717168829,10.6581685144295
