_out_crystalscore,Perovskite crystal?,amine,solvent,_feat_organic_0_accsitecount_std,_feat_organic_0_aliphaticatomcount_std,_feat_organic_0_aliphaticringcount_std,_feat_organic_0_aromaticatomcount_std,_feat_organic_0_aromaticringcount_std,_feat_organic_0_asa+_std,_feat_organic_0_asa-_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asavdwp_std,_feat_organic_0_atomcount_c_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_avgpol_std,_feat_organic_0_balabanindex_std,_feat_organic_0_bondcount_std,_feat_organic_0_carboaliphaticringcount_std,_feat_organic_0_carboaromaticringcount_std,_feat_organic_0_carboringcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_cyclomaticnumber_std,_feat_organic_0_donsitecount_std,_feat_organic_0_fr_amidine,_feat_organic_0_fr_halogen,_feat_organic_0_fr_nh1,_feat_organic_0_fr_nh2,_feat_organic_0_fr_piperzine,_feat_organic_0_fr_quatn,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_heteroaliphaticringcount_std,_feat_organic_0_hyperwienerindex_std,_feat_organic_0_largestringsize_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_protpsa_std,_feat_organic_0_refractivity_std,_feat_organic_0_ringatomcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_saltmolecularweight,_feat_organic_0_smallestringsize_std,_feat_organic_0_vanderwaalsvolume_std,_feat_organic_0_wienerindex_std,_feat_organic_0_wienerpolarity_std,DMF_present,DMSO_present,GBL_present,Expected_Diffusion_Coefficient,Best_Kin_Expected_Diffusion_Coeff_Mols/sec,Best_Kout_Expected_Diffusion_Coeff_Mols/sec,Best_Fit_SSE_Expected_Diffusion_Coeff,Crystallization_Time_Seconds,Crystallization_Height_cm,Expected_DCM_Concentration_Mols/L,Expected_Solvent_Concentration_Mols/L,Expected_FAH_Concentration_Mols/L,Expected_Inorganic_Concentration_Mols/L,Expected_Organic_Concentration_Mols/L
1,NO,dedap,DMF:DMSO,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,1,1,0,2.07E-06,1.35E-06,1.53E-06,0.011789959,1.351145038,1.34351145,13.19551227,1.552230923,0.415607765,0.070563045,0.101610784
4,YES,dedap,GBL,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,0,0,1,5.26E-06,1.97E-07,2.44E-07,0.001841728,2700,0.52892562,7.719510642,4.769058704,1.343042341,0.228025471,0.346598717
4,YES,dedap,GBL:DMF,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,1,0,1,1.08E-06,6.73E-07,6.89E-07,0.003554609,23140,0.873809524,11.40895572,2.550841639,0.718185162,0.124374188,0.182903217
4,YES,dmed,DMSO,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,0,1,0,1.24E-05,1.00E-07,1.39E-07,0.002189896,24060,0.730018416,7.733626615,5.446682821,1.340651611,0.232171958,0.323219785
4,YES,dmed,DMF,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,1,0,0,5.55E-06,4.94E-07,5.96E-07,0.001544812,20040,0.884304933,9.621356857,3.817136269,1.020939088,0.173337884,0.249606552
3,YES,dmed,DMF:DMSO,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,1,1,0,2.07E-06,9.10E-07,9.82E-07,0.010655349,45300,0.994761905,11.75330002,2.576180488,0.65986582,0.112033858,0.161328755
4,YES,dmed,GBL:DMF,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,1,0,1,1.08E-06,2.08E-07,1.69E-07,0.000582367,7740,0.65412844,8.833802563,4.307388959,1.154322007,0.203823368,0.286136651
1,NO,ea,DMSO,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,0,1,0,1.24E-05,1.79E-07,2.45E-07,0.000623206,1.308035714,1.285714286,9.590047279,4.40476291,1.026241786,0.177722954,0.26484205
1,NO,ea,DMF,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,1,0,0,5.55E-06,5.62E-07,7.30E-07,0.001899433,1.336448598,1.322429907,11.08168304,3.059060878,0.773613194,0.136600052,0.197019306
1,NO,ea,DMF:DMSO,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,1,1,0,2.07E-06,7.92E-07,9.17E-07,0.005393733,1.303609342,1.286624204,12.92248196,1.906784412,0.461849123,0.079982312,0.119189328
1,NO,ea,GBL:DMF,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,1,0,1,1.08E-06,6.55E-07,6.51E-07,0.004080028,1.348066298,1.314917127,14.7889056,0.57583236,0.14574516,0.027219521,0.037117529
4,YES,ea,GBL,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,0,0,1,5.26E-06,3.41E-07,4.50E-07,0.000932575,47880,0.951304348,9.487251328,4.143108499,1.043651664,0.18073797,0.265791132
1,NO,ma,DMSO,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,0,1,0,1.24E-05,1.98E-07,2.67E-07,0.000728312,1.324200913,1.310502283,9.75562439,4.347306807,0.998199074,0.169477021,0.257605071
1,NO,ma,DMF:DMSO,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,1,1,0,2.07E-06,6.22E-07,7.29E-07,0.007100463,1.276243094,1.270718232,12.69729483,2.097355122,0.499987594,0.088284859,0.122240573
4,YES,ma,DMF,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,1,0,0,5.55E-06,3.52E-07,4.26E-07,0.000718352,60380,1.249448124,11.31681991,2.948271546,0.733789601,0.124584844,0.184385568
4,YES,ma,GBL,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,0,0,1,5.26E-06,2.84E-07,3.47E-07,0.002834665,15420,0.690163934,8.402139959,4.935148912,1.227429878,0.216732324,0.312594698
4,YES,ma,GBL:DMF,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,1,0,1,1.08E-06,4.20E-07,3.97E-07,0.002431724,58760,1.23956044,14.9139324,0.49985046,0.124570189,0.021149874,0.032993803
1,NO,phenea,DMSO,0,3,0,6,1,218.15,86.4,304.55,256.14,48.41,217.67,8,1,14.69,1.85,21,0,1,1,3,1,3,0,1,0,0,0,1,0,1,0,203,6,46.76,5.03,5.96,24.96,3.37,10.13,15.43,122.19,27.64,50.58,6,2,249.095,6,130.2,94,8,0,1,0,1.24E-05,2.95E-07,4.45E-07,0.009184433,1.363914373,1.339449541,9.469650486,4.242971185,1.046632603,0.1777002,0.2665503
1,NO,phenea,DMF,0,3,0,6,1,218.15,86.4,304.55,256.14,48.41,217.67,8,1,14.69,1.85,21,0,1,1,3,1,3,0,1,0,0,0,1,0,1,0,203,6,46.76,5.03,5.96,24.96,3.37,10.13,15.43,122.19,27.64,50.58,6,2,249.095,6,130.2,94,8,1,0,0,5.55E-06,3.33E-07,4.27E-07,0.000823943,1.324263039,1.297052154,10.76259277,3.090802085,0.827655427,0.140521645,0.210782468
1,NO,phenea,DMF:DMSO,0,3,0,6,1,218.15,86.4,304.55,256.14,48.41,217.67,8,1,14.69,1.85,21,0,1,1,3,1,3,0,1,0,0,0,1,0,1,0,203,6,46.76,5.03,5.96,24.96,3.37,10.13,15.43,122.19,27.64,50.58,6,2,249.095,6,130.2,94,8,1,1,0,2.07E-06,4.25E-07,4.32E-07,0.002095663,1.350877193,1.328947368,13.75929015,1.247210481,0.320124394,0.055438644,0.081527418
