@relation 'RAPID_2_curated_dataset_SIMPLESOLVENT - Sheet1'

@attribute _out_crystalscore numeric
@attribute 'Perovskite crystal?' {NO,YES}
@attribute amine {'1,3-dap',acet,aep,chma,dabz,dedap,dmed,ea,ma,phenea}
@attribute solvent {DMSO,DMF,DMF:DMSO,GBL:DMF,GBL}
@attribute _feat_organic_0_accsitecount_std numeric
@attribute _feat_organic_0_aliphaticatomcount_std numeric
@attribute _feat_organic_0_aliphaticringcount_std numeric
@attribute _feat_organic_0_aromaticatomcount_std numeric
@attribute _feat_organic_0_aromaticringcount_std numeric
@attribute _feat_organic_0_asa+_std numeric
@attribute _feat_organic_0_asa-_std numeric
@attribute _feat_organic_0_asa_std numeric
@attribute _feat_organic_0_asah_std numeric
@attribute _feat_organic_0_asap_std numeric
@attribute _feat_organic_0_asavdwp_std numeric
@attribute _feat_organic_0_atomcount_c_std numeric
@attribute _feat_organic_0_atomcount_n_std numeric
@attribute _feat_organic_0_avgpol_std numeric
@attribute _feat_organic_0_balabanindex_std numeric
@attribute _feat_organic_0_bondcount_std numeric
@attribute _feat_organic_0_carboaliphaticringcount_std numeric
@attribute _feat_organic_0_carboaromaticringcount_std numeric
@attribute _feat_organic_0_carboringcount_std numeric
@attribute _feat_organic_0_chainatomcount_std numeric
@attribute _feat_organic_0_cyclomaticnumber_std numeric
@attribute _feat_organic_0_donsitecount_std numeric
@attribute _feat_organic_0_fr_amidine numeric
@attribute _feat_organic_0_fr_halogen numeric
@attribute _feat_organic_0_fr_nh1 numeric
@attribute _feat_organic_0_fr_nh2 numeric
@attribute _feat_organic_0_fr_piperzine numeric
@attribute _feat_organic_0_fr_quatn numeric
@attribute _feat_organic_0_hacceptorcount_std numeric
@attribute _feat_organic_0_hdonorcount_std numeric
@attribute _feat_organic_0_heteroaliphaticringcount_std numeric
@attribute _feat_organic_0_hyperwienerindex_std numeric
@attribute _feat_organic_0_largestringsize_std numeric
@attribute _feat_organic_0_maximalprojectionarea_std numeric
@attribute _feat_organic_0_maximalprojectionradius_std numeric
@attribute _feat_organic_0_maximalprojectionsize_std numeric
@attribute _feat_organic_0_minimalprojectionarea_std numeric
@attribute _feat_organic_0_minimalprojectionradius_std numeric
@attribute _feat_organic_0_minimalprojectionsize_std numeric
@attribute _feat_organic_0_molpol_std numeric
@attribute _feat_organic_0_organoammoniummolecularweight_std numeric
@attribute _feat_organic_0_protpsa_std numeric
@attribute _feat_organic_0_refractivity_std numeric
@attribute _feat_organic_0_ringatomcount_std numeric
@attribute _feat_organic_0_rotatablebondcount_std numeric
@attribute _feat_organic_0_saltmolecularweight numeric
@attribute _feat_organic_0_smallestringsize_std numeric
@attribute _feat_organic_0_vanderwaalsvolume_std numeric
@attribute _feat_organic_0_wienerindex_std numeric
@attribute _feat_organic_0_wienerpolarity_std numeric
@attribute DMF_present numeric
@attribute DMSO_present numeric
@attribute GBL_present numeric
@attribute Expected_Diffusion_Coefficient numeric
@attribute Best_Kin_Expected_Diffusion_Coeff_Mols/sec numeric
@attribute Best_Kout_Expected_Diffusion_Coeff_Mols/sec numeric
@attribute Best_Fit_SSE_Expected_Diffusion_Coeff numeric
@attribute Crystallization_Time_Seconds numeric
@attribute Crystallization_Height_cm numeric
@attribute Expected_DCM_Concentration_Mols/L numeric
@attribute Expected_Solvent_Concentration_Mols/L numeric
@attribute Expected_FAH_Concentration_Mols/L numeric
@attribute Expected_Inorganic_Concentration_Mols/L numeric
@attribute Expected_Organic_Concentration_Mols/L numeric

@data
3,YES,dabz,DMF:DMSO,0,2,0,6,1,256.81,0,256.81,153.29,103.52,176.15,6,2,12.61,2.19,18,0,1,1,2,1,6,0,2,0,0,0,2,0,2,0,115,6,42.74,4.46,4.31,22.02,3.5,8.86,13.2,110.159,55.28,55.92,6,0,363.969,6,110.43,62,7,1,1,0,0.000002,0,0,0.001176,41820,1.065471,12.522751,2.060248,0.529549,0.093505,0.133064
4,YES,dabz,GBL:DMF,0,2,0,6,1,256.81,0,256.81,153.29,103.52,176.15,6,2,12.61,2.19,18,0,1,1,2,1,6,0,2,0,0,0,2,0,2,0,115,6,42.74,4.46,4.31,22.02,3.5,8.86,13.2,110.159,55.28,55.92,6,0,363.969,6,110.43,62,7,1,0,1,0.000001,0,0,0.002509,1380,0.538197,6.851796,5.560484,1.490002,0.252977,0.379465
1,NO,dedap,DMSO,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,0,1,0,0.000012,0,0,0.000576,1.174484,1.163227,8.561537,4.619876,1.200434,0.220118,0.301643
1,NO,dedap,DMF,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,1,0,0,0.000006,0.000001,0.000002,0.003177,1.366337,1.353135,10.658169,3.039137,0.845341,0.143524,0.200934
1,NO,dedap,DMF:DMSO,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,1,1,0,0.000002,0.000001,0.000002,0.01179,1.351145,1.343511,13.195512,1.552231,0.415608,0.070563,0.101611
4,YES,dedap,GBL,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,0,0,1,0.000005,0,0,0.001842,2700,0.528926,7.719511,4.769059,1.343042,0.228025,0.346599
4,YES,dedap,GBL:DMF,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,1,0,1,0.000001,0.000001,0.000001,0.003555,23140,0.87381,11.408956,2.550842,0.718185,0.124374,0.182903
4,YES,dmed,DMSO,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,0,1,0,0.000012,0,0,0.00219,24060,0.730018,7.733627,5.446683,1.340652,0.232172,0.32322
4,YES,dmed,DMF,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,1,0,0,0.000006,0,0.000001,0.001545,20040,0.884305,9.621357,3.817136,1.020939,0.173338,0.249607
3,YES,dmed,DMF:DMSO,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,1,1,0,0.000002,0.000001,0.000001,0.010655,45300,0.994762,11.7533,2.57618,0.659866,0.112034,0.161329
4,YES,dmed,GBL:DMF,0,6,0,0,0,229.29,46.05,275.35,218.87,56.48,202.37,4,2,11.57,2.63,19,0,0,0,6,0,4,0,2,1,0,0,2,0,2,0,58,0,39.14,4.55,5.31,22.95,3.13,9.08,11.03,90.169,32.08,50.25,0,2,343.979,0,109.27,32,3,1,0,1,0.000001,0,0,0.000582,7740,0.654128,8.833803,4.307389,1.154322,0.203823,0.286137
1,NO,ea,DMSO,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,0,1,0,0.000012,0,0,0.000623,1.308036,1.285714,9.590047,4.404763,1.026242,0.177723,0.264842
1,NO,ea,DMF,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,1,0,0,0.000006,0.000001,0.000001,0.001899,1.336449,1.32243,11.081683,3.059061,0.773613,0.1366,0.197019
1,NO,ea,DMF:DMSO,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,1,1,0,0.000002,0.000001,0.000001,0.005394,1.303609,1.286624,12.922482,1.906784,0.461849,0.079982,0.119189
1,NO,ea,GBL:DMF,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,1,0,1,0.000001,0.000001,0.000001,0.00408,1.348066,1.314917,14.788906,0.575832,0.145745,0.02722,0.037118
4,YES,ea,GBL,0,3,0,0,0,154.04,61.53,215.57,164.65,50.92,112.02,2,1,6.09,1.63,10,0,0,0,3,0,3,0,1,0,0,0,1,0,1,0,5,0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0,0,172.997,0,59.49,4,0,0,0,1,0.000005,0,0,0.000933,47880,0.951304,9.487251,4.143108,1.043652,0.180738,0.265791
1,NO,ma,DMSO,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,0,1,0,0.000012,0,0,0.000728,1.324201,1.310502,9.755624,4.347307,0.998199,0.169477,0.257605
1,NO,ma,DMF:DMSO,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,1,1,0,0.000002,0.000001,0.000001,0.0071,1.276243,1.270718,12.697295,2.097355,0.499988,0.088285,0.122241
4,YES,ma,DMF,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,1,0,0,0.000006,0,0,0.000718,60380,1.249448,11.31682,2.948272,0.73379,0.124585,0.184386
4,YES,ma,GBL,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,0,0,1,0.000005,0,0,0.002835,15420,0.690164,8.40214,4.935149,1.22743,0.216732,0.312595
4,YES,ma,GBL:DMF,0,2,0,0,0,136.92,54.52,191.44,129.54,61.9,81.16,1,1,4.23,1,7,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,1,0,17.05,2.67,5.08,13.88,2.33,4.81,4.04,32.065,27.64,21.21,0,0,158.97,0,42.58,1,0,1,0,1,0.000001,0,0,0.002432,58760,1.23956,14.913932,0.49985,0.12457,0.02115,0.032994
